ID,Date,Amount
677,2024-05-27,214
200,2024-02-29,476
559,2024-07-25,707
427,2024-07-27,347
766,2024-04-09,390
1776,2024-07-22,778
294,2024-07-15,957
286,2024-04-28,840
357,2024-03-18,140
254,2024-06-25,940
1283,2024-05-16,121
1286,2024-04-06,760
1399,2024-05-23,12
1578,2024-04-14,381
1368,2024-06-05,761
29,2024-01-05,10
1639,2024-03-28,972
1604,2024-07-02,439
1303,2024-03-08,148
220,2024-03-11,973
1746,2024-03-09,32
179,2024-01-29,2
1184,2024-04-02,498
1209,2024-05-22,416
471,2024-07-23,805
58,2024-06-25,310
275,2024-04-16,23
334,2024-02-13,265
1210,2024-06-19,575
609,2024-03-25,893
125,2024-05-29,3
1295,2024-05-10,176
494,2024-01-21,108
57,2024-05-03,571
495,2024-03-06,571
1797,2024-07-24,852
278,2024-03-04,69
1792,2024-05-18,88
1939,2024-06-21,603
1823,2024-02-18,233
786,2024-04-08,361
226,2024-02-20,889
628,2024-05-22,456
1176,2024-03-13,648
1757,2024-03-19,552
1205,2024-05-30,844
231,2024-04-21,339
665,2024-05-02,39
1866,2024-02-07,201
1223,2024-02-03,43
1980,2024-07-10,496
1815,2024-05-05,695
1073,2024-05-01,105
1830,2024-03-12,840
1214,2024-01-21,665
1621,2024-01-10,592
1438,2024-01-06,767
859,2024-04-09,462
1688,2024-03-25,406
1970,2024-06-22,265
956,2024-05-17,393
1846,2024-05-03,88
1245,2024-02-14,539
165,2024-03-27,937
865,2024-05-01,206
947,2024-03-30,626
211,2024-07-05,909
1851,2024-01-10,552
415,2024-04-06,501
1936,2024-06-19,617
638,2024-04-09,398
1609,2024-05-28,416
1481,2024-02-03,273
1933,2024-04-15,293
529,2024-03-25,867
926,2024-06-29,168
119,2024-01-01,82
1665,2024-05-07,452
1076,2024-03-04,553
781,2024-02-06,560
353,2024-03-20,537
71,2024-05-15,706
426,2024-03-15,923
107,2024-02-01,762
1931,2024-02-18,392
1522,2024-04-03,777
899,2024-07-07,673
351,2024-01-29,156
1840,2024-05-27,325
1622,2024-06-15,808
205,2024-01-27,108
1817,2024-03-19,649
934,2024-05-30,13
525,2024-02-16,817
263,2024-05-12,900
1040,2024-03-13,297
488,2024-03-31,286
1659,2024-07-26,192
290,2024-04-08,890
1111,2024-04-11,473
758,2024-06-24,104
1528,2024-01-07,10
1768,2024-02-09,798
605,2024-05-29,454
1412,2024-07-02,186
1063,2024-01-06,32
1585,2024-03-25,299
1778,2024-05-15,638
1473,2024-06-01,923
1338,2024-06-18,46
1735,2024-07-01,503
1546,2024-03-12,263
1684,2024-01-13,96
473,2024-06-07,935
1974,2024-07-16,989
91,2024-04-19,388
118,2024-05-08,753
462,2024-04-29,784
521,2024-03-10,734
289,2024-06-24,488
1085,2024-03-23,94
773,2024-02-12,761
964,2024-02-09,841
1734,2024-05-24,654
1716,2024-05-30,11
1385,2024-03-22,575
1269,2024-02-11,238
521,2024-07-20,569
1900,2024-03-29,673
527,2024-05-31,43
671,2024-01-02,854
1212,2024-05-31,419
46,2024-03-13,80
836,2024-02-28,121
1012,2024-05-22,980
1128,2024-04-24,7
1920,2024-02-29,914
673,2024-02-23,714
1953,2024-01-17,861
1829,2024-01-03,579
755,2024-03-11,979
1089,2024-02-28,315
1918,2024-04-01,863
668,2024-01-07,984
603,2024-03-08,489
1043,2024-06-24,186
1463,2024-06-07,6
1152,2024-07-19,216
997,2024-05-02,845
881,2024-05-16,479
255,2024-02-11,331
787,2024-03-11,991
1629,2024-03-24,895
702,2024-04-12,712
1776,2024-06-29,182
638,2024-03-26,821
1366,2024-07-14,10
950,2024-07-09,977
362,2024-02-24,966
590,2024-02-28,308
1275,2024-03-24,122
656,2024-03-30,65
1587,2024-04-14,240
165,2024-04-08,149
932,2024-01-03,577
1248,2024-05-05,491
916,2024-07-19,657
630,2024-03-17,930
497,2024-01-31,286
985,2024-01-29,541
687,2024-05-28,510
284,2024-04-07,958
1913,2024-03-14,383
1039,2024-04-25,807
208,2024-01-12,878
484,2024-04-03,589
22,2024-02-07,495
465,2024-02-06,208
1154,2024-05-03,92
302,2024-03-15,604
317,2024-04-29,317
870,2024-03-10,129
55,2024-05-14,63
1001,2024-04-13,888
98,2024-04-04,471
1209,2024-03-27,243
1487,2024-03-18,678
812,2024-02-23,122
399,2024-07-10,377
765,2024-03-20,966
1556,2024-05-22,699
1112,2024-06-28,76
1785,2024-06-02,969
303,2024-05-19,48
296,2024-07-06,489
624,2024-05-24,153
15,2024-06-27,898
869,2024-01-13,127
37,2024-07-21,978
415,2024-05-23,463
1315,2024-03-01,38
1385,2024-05-30,743
450,2024-05-20,329
1724,2024-02-09,796
1522,2024-06-24,282
1923,2024-02-01,157
1700,2024-05-25,922
517,2024-03-04,758
123,2024-05-11,378
760,2024-06-30,707
840,2024-04-19,434
104,2024-03-20,190
1370,2024-05-07,42
1189,2024-01-07,983
1747,2024-07-06,515
1547,2024-02-11,586
734,2024-07-17,313
1272,2024-04-27,866
647,2024-02-12,186
1194,2024-01-28,807
889,2024-04-30,981
1746,2024-07-10,959
1463,2024-03-14,432
1591,2024-06-12,329
1677,2024-02-27,444
464,2024-02-21,910
1618,2024-01-02,722
1005,2024-05-26,709
1705,2024-01-11,640
1526,2024-04-03,679
1106,2024-02-20,630
1745,2024-07-14,17
1489,2024-05-28,534
1304,2024-01-02,243
1257,2024-07-15,227
1775,2024-04-19,800
1807,2024-02-10,21
1120,2024-06-15,708
540,2024-07-09,372
244,2024-02-22,671
540,2024-01-02,639
888,2024-04-29,12
1151,2024-03-15,809
945,2024-01-17,537
900,2024-07-25,288
574,2024-02-20,115
837,2024-05-15,451
1400,2024-07-12,610
975,2024-02-27,897
640,2024-03-07,554
303,2024-04-13,895
58,2024-01-10,282
1906,2024-06-21,837
485,2024-01-11,852
67,2024-01-03,48
750,2024-01-24,815
1812,2024-01-19,665
1520,2024-02-29,443
1917,2024-05-05,85
1745,2024-07-25,566
1896,2024-01-07,586
56,2024-02-17,738
11,2024-04-25,657
168,2024-02-16,518
496,2024-04-01,929
957,2024-04-26,265
1848,2024-07-10,723
498,2024-04-24,494
344,2024-04-05,970
513,2024-06-10,997
436,2024-03-29,479
474,2024-03-13,849
215,2024-01-04,126
1615,2024-06-19,222
912,2024-07-20,440
732,2024-02-28,373
677,2024-02-18,846
9,2024-04-06,880
950,2024-05-09,999
141,2024-03-07,122
1107,2024-03-11,553
34,2024-06-27,427
525,2024-03-29,235
975,2024-05-09,667
1319,2024-07-11,514
1445,2024-02-28,734
1661,2024-04-23,360
227,2024-05-11,763
1236,2024-06-10,353
909,2024-06-23,383
1205,2024-07-12,214
1686,2024-02-12,973
1937,2024-06-23,691
418,2024-03-21,508
952,2024-03-06,567
542,2024-04-09,832
1779,2024-01-15,129
556,2024-07-07,200
452,2024-02-05,620
575,2024-04-22,2
1882,2024-07-13,758
231,2024-07-02,976
1687,2024-06-18,850
571,2024-03-05,896
905,2024-05-09,711
578,2024-02-22,765
1554,2024-04-20,443
1712,2024-01-06,317
722,2024-02-29,326
1711,2024-06-16,646
647,2024-06-05,921
398,2024-03-13,41
70,2024-01-19,602
1145,2024-01-30,404
610,2024-05-28,99
77,2024-04-16,895
918,2024-02-21,337
506,2024-05-19,101
990,2024-03-11,445
1685,2024-03-25,916
1084,2024-05-26,463
1795,2024-06-25,502
203,2024-01-13,744
242,2024-07-03,502
516,2024-05-27,162
1447,2024-01-18,94
1507,2024-03-04,29
146,2024-05-05,6
556,2024-02-20,139
1865,2024-04-14,320
622,2024-06-13,992
100,2024-05-26,968
1995,2024-03-18,231
849,2024-04-23,826
1587,2024-03-11,366
1074,2024-07-06,216
1304,2024-05-08,782
1733,2024-04-06,50
45,2024-07-08,471
709,2024-06-01,203
819,2024-04-11,172
955,2024-07-06,567
1868,2024-06-01,430
383,2024-07-04,288
706,2024-06-25,234
1299,2024-05-28,862
346,2024-06-28,546
1798,2024-07-24,928
1068,2024-04-03,467
1376,2024-07-26,243
1872,2024-06-16,830
1516,2024-02-14,261
623,2024-05-27,161
163,2024-04-25,934
1826,2024-04-25,464
1849,2024-07-04,387
1304,2024-05-27,752
1486,2024-07-16,753
501,2024-04-10,253
388,2024-07-02,407
1339,2024-04-14,332
741,2024-06-10,332
1043,2024-07-25,165
1459,2024-06-11,796
641,2024-04-19,887
1819,2024-06-22,879
3,2024-03-22,667
368,2024-07-13,732
1060,2024-03-30,291
216,2024-04-29,67
1992,2024-03-21,542
1674,2024-06-19,465
1882,2024-02-07,75
281,2024-03-31,811
842,2024-07-09,989
1001,2024-05-25,740
1625,2024-01-26,110
719,2024-05-08,847
820,2024-06-02,960
734,2024-02-26,231
1610,2024-02-12,961
1861,2024-02-10,725
1100,2024-03-28,680
132,2024-05-25,874
1140,2024-01-05,488
968,2024-05-15,653
1110,2024-02-14,725
1157,2024-01-30,849
1289,2024-02-20,736
1157,2024-06-23,898
1294,2024-06-10,453
83,2024-03-27,839
354,2024-03-11,167
1052,2024-03-17,392
1741,2024-02-18,341
703,2024-07-05,947
427,2024-05-16,724
531,2024-04-06,25
354,2024-04-29,227
1489,2024-02-12,321
1161,2024-02-04,898
839,2024-03-29,413
1578,2024-05-11,904
1419,2024-07-06,986
1901,2024-01-19,239
53,2024-04-11,549
1203,2024-05-16,402
565,2024-02-03,221
1127,2024-05-13,432
1887,2024-01-21,326
1389,2024-07-23,806
1551,2024-01-03,758
908,2024-04-15,988
1594,2024-06-26,911
1677,2024-07-10,227
39,2024-03-09,836
1047,2024-01-18,776
1923,2024-02-22,947
1285,2024-01-28,397
1527,2024-04-14,229
1125,2024-04-14,71
1898,2024-05-15,285
564,2024-02-09,186
903,2024-05-21,970
1064,2024-05-19,270
716,2024-03-29,342
27,2024-02-22,456
1561,2024-02-08,920
482,2024-06-24,794
1652,2024-07-25,485
844,2024-07-11,506
1100,2024-06-04,776
551,2024-03-05,556
552,2024-07-08,95
1379,2024-01-30,11
621,2024-07-04,869
1859,2024-05-29,354
934,2024-06-17,65
505,2024-02-09,81
1261,2024-07-12,167
337,2024-07-12,350
333,2024-07-09,515
1509,2024-07-26,839
904,2024-03-21,541
1492,2024-05-01,697
1229,2024-06-17,907
894,2024-04-26,878
1025,2024-01-15,516
1912,2024-04-02,557
52,2024-02-22,249
1394,2024-03-22,656
1279,2024-02-21,620
253,2024-03-17,89
17,2024-05-21,699
1077,2024-03-29,238
566,2024-04-30,81
255,2024-05-16,913
935,2024-01-14,828
639,2024-04-09,293
1740,2024-06-22,461
1661,2024-07-11,169
230,2024-04-27,394
1982,2024-07-28,551
1424,2024-07-02,77
678,2024-03-06,580
792,2024-02-14,338
1163,2024-01-05,447
207,2024-03-19,601
956,2024-03-16,472
907,2024-02-21,325
1097,2024-02-03,527
1189,2024-03-29,258
581,2024-02-03,639
821,2024-06-14,940
1820,2024-03-25,191
941,2024-05-16,58
904,2024-04-10,259
1780,2024-07-07,171
607,2024-02-08,170
1774,2024-02-06,654
1515,2024-07-09,53
1820,2024-04-29,185
1986,2024-07-04,547
79,2024-04-22,82
562,2024-03-29,234
160,2024-06-18,454
1397,2024-01-21,87
242,2024-05-08,177
162,2024-03-17,228
527,2024-04-02,294
414,2024-02-05,920
1973,2024-01-24,629
659,2024-01-31,306
814,2024-07-20,247
955,2024-05-13,893
1875,2024-01-23,724
635,2024-04-01,321
587,2024-02-15,575
80,2024-03-23,136
522,2024-03-20,762
208,2024-01-24,779
1716,2024-03-24,299
355,2024-07-25,80
1869,2024-03-29,88
110,2024-05-16,669
387,2024-02-01,619
65,2024-04-26,410
316,2024-06-27,326
1166,2024-04-28,931
1207,2024-05-30,44
407,2024-06-08,752
196,2024-04-11,676
748,2024-03-31,197
1704,2024-03-27,72
1883,2024-03-29,423
1799,2024-04-11,914
580,2024-06-23,171
1798,2024-01-07,85
451,2024-05-25,167
969,2024-02-04,968
1605,2024-06-19,278
1820,2024-05-19,133
1685,2024-07-18,485
1283,2024-04-19,124
1943,2024-05-19,240
1261,2024-01-14,492
1179,2024-07-14,359
665,2024-01-30,206
1119,2024-02-13,538
827,2024-06-05,67
166,2024-01-24,715
758,2024-05-21,731
1710,2024-05-03,453
1306,2024-03-10,492
1531,2024-05-09,59
249,2024-04-25,454
151,2024-05-05,215
380,2024-04-22,228
1301,2024-03-07,72
516,2024-02-29,703
1641,2024-01-13,805
585,2024-05-24,533
1152,2024-04-20,513
1113,2024-05-28,781
1957,2024-06-28,888
800,2024-07-25,555
490,2024-04-23,168
441,2024-01-04,410
362,2024-05-07,870
712,2024-02-21,497
127,2024-06-17,627
2000,2024-04-07,874
1210,2024-04-21,175
1817,2024-05-21,384
309,2024-06-25,947
1133,2024-05-01,23
1201,2024-02-18,621
777,2024-06-02,609
644,2024-06-14,643
1373,2024-01-05,530
986,2024-07-12,948
1433,2024-01-10,281
1466,2024-02-23,389
763,2024-01-24,262
1852,2024-07-03,416
677,2024-02-25,169
1330,2024-05-01,540
285,2024-06-16,348
47,2024-07-26,231
1429,2024-05-25,374
428,2024-03-29,423
645,2024-06-21,791
719,2024-01-02,350
242,2024-05-24,85
620,2024-04-16,139
1061,2024-06-30,236
494,2024-03-07,415
494,2024-05-02,938
1267,2024-04-07,820
720,2024-07-05,122
226,2024-05-10,65
514,2024-01-06,829
1606,2024-03-23,533
1669,2024-03-10,727
1017,2024-05-12,328
585,2024-05-04,464
1069,2024-07-15,999
1752,2024-02-05,87
1540,2024-07-23,450
128,2024-05-24,229
1464,2024-05-07,949
1088,2024-06-21,233
929,2024-06-15,818
1531,2024-07-19,34
1217,2024-02-21,988
1229,2024-07-27,672
448,2024-05-10,449
236,2024-07-11,140
320,2024-02-24,213
378,2024-04-22,373
933,2024-05-10,351
519,2024-05-09,918
657,2024-07-28,740
71,2024-05-28,454
850,2024-03-20,93
1333,2024-03-29,591
1820,2024-05-16,803
876,2024-01-12,206
1626,2024-04-03,716
808,2024-06-07,959
327,2024-04-02,448
1651,2024-03-08,886
1367,2024-06-02,282
1631,2024-02-11,225
781,2024-03-19,570
1090,2024-04-05,59
1500,2024-01-19,21
951,2024-07-28,30
1684,2024-04-07,274
1087,2024-01-13,423
1628,2024-04-12,955
152,2024-02-26,829
506,2024-03-13,417
860,2024-02-16,362
765,2024-05-04,689
1918,2024-01-14,56
1147,2024-05-06,858
1405,2024-05-13,489
708,2024-01-23,494
112,2024-05-01,462
438,2024-01-16,830
753,2024-02-12,856
1771,2024-02-04,327
495,2024-05-05,847
1543,2024-07-17,150
656,2024-03-28,498
1628,2024-07-02,458
511,2024-05-29,128
690,2024-06-06,615
105,2024-02-21,910
373,2024-07-09,771
883,2024-03-21,497
400,2024-07-08,577
624,2024-05-05,760
1464,2024-06-28,897
1440,2024-01-25,964
220,2024-06-19,60
1863,2024-07-18,944
1119,2024-05-09,521
1956,2024-03-14,462
874,2024-01-24,89
670,2024-01-18,792
873,2024-04-01,224
771,2024-03-04,827
114,2024-02-03,453
158,2024-02-24,563
253,2024-05-11,895
1102,2024-02-27,618
990,2024-07-02,777
311,2024-05-20,653
931,2024-03-31,536
1168,2024-05-11,976
472,2024-06-16,318
1749,2024-02-27,845
47,2024-05-18,390
771,2024-03-14,934
1809,2024-07-02,240
1331,2024-07-16,993
1538,2024-06-12,552
1511,2024-02-08,54
636,2024-02-08,946
551,2024-03-22,308
200,2024-07-14,941
779,2024-05-12,577
301,2024-05-13,216
1712,2024-06-09,30
495,2024-04-30,458
1083,2024-02-07,525
496,2024-04-24,57
1810,2024-03-17,887
589,2024-05-30,216
1916,2024-02-19,631
1716,2024-02-19,967
972,2024-07-14,454
1365,2024-07-03,964
1726,2024-04-30,813
1402,2024-01-28,762
57,2024-04-28,909
481,2024-04-05,969
1791,2024-03-30,519
1701,2024-06-14,68
20,2024-01-04,278
1304,2024-04-20,582
1375,2024-06-26,485
186,2024-07-09,738
585,2024-05-27,278
1016,2024-06-09,415
197,2024-05-11,631
1450,2024-04-03,746
1613,2024-02-05,358
1004,2024-02-24,562
1226,2024-01-28,22
411,2024-07-17,551
1524,2024-03-11,864
630,2024-07-19,575
1464,2024-06-14,186
1735,2024-07-06,249
199,2024-04-08,344
872,2024-05-31,15
826,2024-02-18,637
810,2024-06-29,416
1322,2024-04-29,475
1328,2024-07-24,747
1578,2024-05-05,706
1593,2024-05-24,763
1146,2024-06-20,190
1080,2024-01-31,195
1577,2024-01-15,140
698,2024-02-15,990
1472,2024-04-14,251
1975,2024-01-02,691
1979,2024-05-29,525
1793,2024-07-18,491
336,2024-05-21,112
135,2024-04-26,129
1503,2024-06-21,693
602,2024-05-02,858
1828,2024-02-15,277
727,2024-07-26,213
355,2024-02-19,989
1651,2024-04-01,162
1871,2024-01-15,262
800,2024-06-28,255
664,2024-07-26,293
1408,2024-03-19,724
218,2024-01-31,515
490,2024-07-25,542
1792,2024-03-01,675
240,2024-03-24,589
888,2024-07-05,225
790,2024-02-29,166
277,2024-07-06,61
994,2024-05-07,691
1883,2024-01-19,113
743,2024-07-28,80
61,2024-04-11,280
877,2024-06-15,38
1753,2024-06-26,351
1328,2024-07-02,942
1465,2024-03-28,290
710,2024-05-24,393
1045,2024-02-07,639
121,2024-04-08,741
293,2024-05-20,707
1660,2024-04-04,839
985,2024-06-20,370
1530,2024-03-01,342
880,2024-03-14,222
1646,2024-06-09,343
1757,2024-07-05,769
905,2024-04-09,219
891,2024-06-02,122
1114,2024-03-16,188
743,2024-03-08,538
304,2024-05-02,148
1698,2024-07-12,626
459,2024-01-08,211
618,2024-02-10,562
1987,2024-05-07,36
17,2024-02-21,564
941,2024-03-02,111
1186,2024-07-18,511
1760,2024-02-17,766
1449,2024-04-19,107
1802,2024-01-27,417
963,2024-02-29,62
478,2024-01-11,379
1056,2024-06-24,940
88,2024-05-04,90
1986,2024-06-28,357
446,2024-07-21,857
114,2024-02-24,736
1241,2024-03-28,9
659,2024-06-23,256
1420,2024-03-03,102
468,2024-07-18,138
112,2024-06-02,202
1047,2024-01-27,950
1751,2024-04-18,756
1066,2024-01-21,17
461,2024-04-17,456
1187,2024-03-05,773
1224,2024-04-24,127
299,2024-06-19,390
737,2024-04-18,305
120,2024-03-27,669
248,2024-03-27,554
98,2024-03-02,439
752,2024-04-07,189
257,2024-07-28,471
466,2024-02-09,654
1309,2024-07-03,798
1142,2024-05-23,458
1820,2024-02-02,999
1181,2024-02-17,53
1447,2024-06-18,655
499,2024-04-02,295
1363,2024-03-03,12
1823,2024-01-20,258
1960,2024-07-22,738
1728,2024-04-16,967
571,2024-02-16,499
1719,2024-06-10,408
183,2024-03-03,686
926,2024-05-01,752
1462,2024-03-31,816
1030,2024-02-08,382
267,2024-07-08,778
357,2024-01-10,899
1079,2024-05-17,356
1459,2024-07-05,598
121,2024-03-12,578
736,2024-01-29,217
1718,2024-02-28,112
1072,2024-03-19,384
1667,2024-03-15,820
191,2024-05-04,490
357,2024-03-25,139
75,2024-02-11,621
1597,2024-03-15,288
680,2024-02-21,214
1124,2024-05-25,969
70,2024-05-18,129
1272,2024-05-06,379
356,2024-06-12,19
1288,2024-04-29,395
1719,2024-05-26,190
1071,2024-02-02,534
1968,2024-06-03,833
901,2024-06-05,563
743,2024-03-17,131
723,2024-04-05,898
13,2024-02-27,826
1065,2024-05-28,655
1091,2024-02-18,605
806,2024-01-05,128
899,2024-02-02,159
446,2024-01-28,954
768,2024-02-22,150
251,2024-04-28,410
1739,2024-01-12,122
447,2024-01-03,208
1507,2024-01-17,508
1622,2024-03-19,960
66,2024-05-20,933
959,2024-05-13,157
23,2024-05-13,239
243,2024-05-20,756
412,2024-04-08,949
937,2024-03-14,27
319,2024-04-07,906
737,2024-07-05,244
51,2024-06-04,490
489,2024-07-04,210
1180,2024-06-17,820
752,2024-03-28,365
510,2024-04-07,465
1425,2024-02-06,507
1498,2024-03-24,129
989,2024-06-13,14
783,2024-07-09,205
1061,2024-01-28,223
1663,2024-04-25,306
425,2024-03-01,889
733,2024-02-22,399
1600,2024-01-12,236
250,2024-06-24,808
301,2024-06-23,18
233,2024-01-17,45
297,2024-01-05,147
310,2024-03-28,629
199,2024-02-18,224
1393,2024-04-29,165
275,2024-06-06,14
585,2024-03-28,165
600,2024-07-16,966
738,2024-05-16,443
289,2024-05-07,555
1796,2024-06-14,145
184,2024-06-07,494
929,2024-03-03,53
1708,2024-05-15,96
1498,2024-01-27,302
798,2024-01-18,880
666,2024-05-20,269
537,2024-06-09,896
1772,2024-06-07,562
679,2024-05-09,421
558,2024-06-30,610
1909,2024-04-15,424
1313,2024-02-16,559
1590,2024-07-25,372
1453,2024-06-23,525
640,2024-05-13,758
669,2024-02-02,853
825,2024-07-05,999
324,2024-02-02,373
1123,2024-06-25,157
1511,2024-05-09,667
95,2024-05-12,166
1985,2024-02-11,366
1082,2024-06-29,613
1292,2024-06-08,348
178,2024-07-23,210
352,2024-01-30,580
677,2024-01-26,55
981,2024-02-09,42
536,2024-01-23,782
1043,2024-06-22,544
1514,2024-07-18,883
980,2024-05-30,647
704,2024-01-06,313
1980,2024-01-12,733
1416,2024-07-19,577
905,2024-06-15,196
171,2024-02-04,626
1206,2024-07-09,859
137,2024-07-21,315
1892,2024-04-16,473
1694,2024-06-23,703
1865,2024-01-13,672
384,2024-01-20,35
80,2024-04-01,93
860,2024-07-09,719
1895,2024-02-23,310
31,2024-05-08,49
1967,2024-03-03,122
63,2024-02-17,391
1689,2024-07-07,259
1557,2024-05-26,764
1022,2024-06-12,149
1383,2024-06-28,358
926,2024-03-16,393
895,2024-07-25,14
56,2024-05-12,848
1616,2024-07-19,716
1326,2024-04-10,3
958,2024-03-28,334
326,2024-06-07,547
185,2024-07-15,731
690,2024-03-25,248
1228,2024-06-26,230
1267,2024-03-31,330
44,2024-06-15,556
453,2024-03-16,769
1652,2024-05-27,291
1692,2024-07-26,579
1114,2024-01-01,654
103,2024-05-23,22
243,2024-03-13,74
795,2024-07-15,542
452,2024-04-11,883
494,2024-07-11,742
1351,2024-03-14,534
687,2024-02-12,378
701,2024-07-04,501
1076,2024-02-29,858
1841,2024-04-07,51
764,2024-03-20,207
1681,2024-05-09,400
1254,2024-04-20,424
1144,2024-03-24,871
1805,2024-07-06,110
1055,2024-02-05,143
1067,2024-05-08,295
2,2024-04-21,430
576,2024-02-11,400
130,2024-05-12,125
1555,2024-06-21,14
1467,2024-05-21,675
1475,2024-06-15,240
1136,2024-04-18,505
1844,2024-05-18,479
1138,2024-01-20,260
735,2024-04-09,256
1256,2024-01-14,222
1272,2024-02-02,204
1037,2024-06-16,626
1718,2024-01-22,33
998,2024-03-20,411
1420,2024-07-26,162
8,2024-05-06,632
1710,2024-06-13,755
1564,2024-06-23,468
506,2024-03-06,257
740,2024-01-12,269
1643,2024-06-16,798
948,2024-02-26,584
1827,2024-03-07,320
1705,2024-01-03,29
1084,2024-05-07,111
666,2024-02-13,369
963,2024-02-06,374
635,2024-07-07,144
1261,2024-03-26,636
254,2024-01-14,125
1393,2024-05-01,755
951,2024-03-16,303
64,2024-03-28,966
1512,2024-03-02,505
1349,2024-03-01,236
960,2024-05-11,531
940,2024-03-26,90
1208,2024-04-16,765
475,2024-02-24,453
1640,2024-03-27,921
1050,2024-02-10,406
498,2024-03-26,196
1827,2024-01-31,256
1809,2024-01-28,103
1320,2024-05-21,433
808,2024-06-05,159
1882,2024-03-22,78
1911,2024-06-13,801
1815,2024-07-04,480
1645,2024-05-09,722
1982,2024-07-19,997
5,2024-05-28,903
990,2024-01-24,361
234,2024-02-22,233
423,2024-01-15,316
214,2024-06-04,858
1739,2024-06-25,738
895,2024-07-23,130
1621,2024-03-04,960
1093,2024-06-28,632
669,2024-05-01,236
1827,2024-07-19,19
1028,2024-05-10,663
36,2024-03-22,663
611,2024-07-04,403
877,2024-07-28,25
1576,2024-02-04,961
657,2024-06-13,444
825,2024-05-25,544
